Player,Position,Score,Value over Avg,Value over Next
Josh McCown Cle QB,QB,146.96,-89.50,13.28
Devin Hester Atl WR,WR,15.50,-89.79,1.65
Bruce Miller SF RB,RB,7.31,-90.74,0.45
Rex Burkhead Cin RB,RB,6.86,-91.19,0.61
Seantavius Jones NO WR,WR,13.85,-91.44,0.07
Jeremy Kerley NYJ WR Q,WR,13.79,-91.51,1.06
Joseph Morgan NO WR,WR,13.79,-91.51,0.00
Chris Thompson Wsh RB,RB,6.25,-91.80,0.73
Darrel Young Wsh RB,RB,5.51,-92.53,0.68
Miles Austin Phi WR,WR,12.73,-92.56,0.33
Corey Washington NYG WR Q,WR,12.40,-92.89,0.26
Michael Campanaro Bal WR Q,WR,12.14,-93.16,0.07
Trent Richardson Oak RB,RB,4.83,-93.22,0.17
Devin Street Dal WR P,WR,12.07,-93.22,0.20
Anthony Sherman KC RB,RB,4.66,-93.39,0.26
Dontrelle Inman SD WR Q,WR,11.87,-93.42,4.94
Fozzy Whittaker Car RB,RB,4.41,-93.64,0.02
Ka'Deem Carey Chi RB,RB,4.39,-93.66,0.24
LaMichael James Mia RB P,RB,4.15,-93.90,0.15
Will Johnson Pit RB,RB,4.00,-94.05,0.02
Jorvorskie Lane TB RB,RB,3.98,-94.07,0.02
Collin Mooney Atl RB,RB,3.96,-94.09,0.07
Patrick DiMarco Atl RB,RB,3.89,-94.15,0.33
Chris Polk Hou RB,RB,3.57,-94.48,0.26
Jerome Felton Buf RB,RB,3.31,-94.74,0.19
Jalston Fowler Ten RB,RB,3.11,-94.94,0.16
Kendall Hunter SF RB,RB,2.95,-95.10,0.29
James Develin* NE RB O,RB,2.66,-95.39,0.26
Stepfan Taylor Ari RB,RB,2.40,-95.65,0.09
Mike Davis SF RB,RB,2.31,-95.74,0.13
Josh Harris Pit RB,RB,2.18,-95.86,0.22
Edwin Baker NO RB,RB,1.96,-96.09,0.11
Marcus Murphy* NO RB O,RB,1.96,-96.09,0.00
Vick Ballard Ind RB Q,RB,1.85,-96.19,0.01
Derrick Coleman Sea RB,RB,1.85,-96.20,0.05
Antonio Andrews Ten RB,RB,1.80,-96.25,0.01
Kerwynn Williams Ari RB,RB,1.79,-96.26,0.08
Donald Brown SD RB,RB,1.79,-96.26,0.00
Michael Burton Det RB,RB,1.71,-96.34,0.01
Travaris Cadet NE RB P,RB,1.69,-96.35,0.09
