Player,Position,Score,Marginal Value
Jimmy Garoppolo NE QB,QB,58.54,-212.88
Kirk Cousins Wsh QB,QB,13.22,-258.20
Jimmy Clausen Chi QB,QB,12.22,-259.20
Drew Stanton Ari QB,QB,12.10,-259.32
Johnny Manziel Cle QB,QB,11.32,-260.10
EJ Manuel Buf QB,QB,10.46,-260.96
Blaine Gabbert SF QB,QB,9.48,-261.94
Derek Anderson Car QB,QB,9.04,-262.38
Brandon Weeden Dal QB,QB,8.82,-262.60
Chase Daniel KC QB,QB,8.68,-262.74
Austin Davis StL QB,QB,8.58,-262.84
Mark Sanchez Phi QB,QB,7.56,-263.86
Bruce Gradkowski Pit QB,QB,7.28,-264.14
Brock Osweiler Den QB,QB,1.50,-269.92
Luke McCown NO QB,QB,0.98,-270.44
Matt Hasselbeck Ind QB,QB,0.92,-270.50
Christian Ponder Oak QB,QB,0.90,-270.52
Dan Orlovsky Det QB,QB,0.88,-270.54
Mike Glennon TB QB,QB,0.88,-270.54
Kellen Clemens SD QB,QB,0.84,-270.58
Matt Moore Mia QB,QB,0.84,-270.58
Shaun Hill Min QB,QB,0.80,-270.62
Matt Schaub Bal QB,QB,0.80,-270.62
T.J. Yates Atl QB,QB,0.80,-270.62
Scott Tolzien GB QB,QB,0.80,-270.62
Ryan Nassib NYG QB,QB,0.80,-270.62
Chad Henne Jac QB,QB,0.76,-270.66
Zach Mettenberger Ten QB,QB,0.76,-270.66
Tarvaris Jackson Sea QB Q,QB,0.68,-270.74
B.J. Daniels Sea QB,QB,0.68,-270.74
AJ McCarron Cin QB P,QB,0.64,-270.78
Matt Flynn NYJ QB P,QB,0.20,-271.22
Ryan Lindley NE QB,QB,0.20,-271.22
Bryce Petty NYJ QB,QB,0.20,-271.22
Colt McCoy Wsh QB,QB,0.00,-271.42
Tom Savage Hou QB,QB,0.00,-271.42
Sean Mannion StL QB,QB,0.00,-271.42
Garrett Grayson NO QB,QB,0.00,-271.42
Brett Hundley GB QB,QB,0.00,-271.42
