Player,Position,Score,Marginal Value
Samkon Gado - TEN,RB,0.31,-95.48
Reagan Maui'a - ARI,RB,0.24,-95.54
Terrelle Smith - DET,RB,0.22,-95.57
Xavier Omon - SF,RB,0.12,-95.67
Deon Anderson - MIA,RB,0.10,-95.69
Olaniyi Sobomehin - NO,RB,0.07,-95.72
Javarris Williams - HOU,RB,0.04,-95.75
Marlon Moore - MIA,WR,9.83,-96.11
Johnnie Lee Higgins - PHI,WR,9.68,-96.26
Mark Clayton - STL,WR,9.59,-96.35
Ramses Barden - NYG,WR,9.38,-96.55
Mark Bradley - NO,WR,9.33,-96.61
Kassim Osgood - JAC,WR,9.29,-96.65
Verran Tucker - KC,WR,9.22,-96.72
Patrick Turner - NYJ,WR,8.83,-97.11
David Clowney - CAR,WR,8.67,-97.27
Armanti Edwards - CAR,WR,8.24,-97.70
Ruvell Martin - BUF,WR,7.86,-98.07
Roberto Wallace - MIA,WR,7.83,-98.11
Dorin Dickerson - HOU,WR,7.79,-98.14
Chad Hall - PHI,WR,7.79,-98.14
Jerrel Jernigan - NYG,WR,7.44,-98.50
Dominique Zeigler - SF,WR,7.41,-98.52
Malcolm Kelly - WAS,WR,7.39,-98.55
Julian Edelman - NE,WR,7.37,-98.56
Ronald Johnson - SF,WR,6.84,-99.09
Derek Hagan - OAK,WR,6.03,-99.91
James Hardy - BAL,WR,5.98,-99.96
Greg Lewis - MIN,WR,5.76,-100.18
Arnaz Battle - PIT,WR,5.50,-100.44
Michael Clayton - NYG,WR,5.43,-100.51
Hank Baskett - MIN,WR,5.41,-100.53
Maurice Stovall - DET,WR,5.25,-100.68
Lavelle Hawkins - TEN,WR,5.22,-100.72
Jeremy Kerley - NYJ,WR,5.18,-100.76
Devin Thomas - NYG,WR,5.05,-100.88
Matthew Slater - NE,WR,5.02,-100.92
Brian Finneran - ATL,WR,4.84,-101.09
Roydell Williams - WAS,WR,4.67,-101.27
Chris Chambers - KC,WR,4.57,-101.36
Kris Durham - SEA,WR,4.41,-101.53
Laurent Robinson - SD,WR,4.39,-101.54
Max Komar - ARI,WR,4.38,-101.56
Brandon Stokley - SEA,WR,4.29,-101.65
Naaman Roosevelt - BUF,WR,4.27,-101.67
Mardy Gilyard - STL,WR,4.16,-101.78
Brett Swain - GB,WR,3.89,-102.04
Taylor Price - NE,WR,3.76,-102.17
Ryan Whalen - CIN,WR,3.68,-102.26
Adrian Arrington - NO,WR,3.48,-102.46
Limas Sweed - PIT,WR,3.41,-102.52
Nick Miller - OAK,WR,3.39,-102.55
DeMarco Sampson - ARI,WR,3.29,-102.64
Keenan Burton - STL,WR,3.12,-102.81
Reggie Brown - TB,WR,2.99,-102.95
Stephen Burton - MIN,WR,2.90,-103.03
Brandon Jones - BAL,WR,2.76,-103.18
