Player,Position,Score,Marginal Value
Alfonso Smith - ARI,RB,22.27,-142.66
Dominique Byrd - SEA,TE,7.50,-142.77
Owen Schmitt - PHI,RB,22.10,-142.83
Kory Sperry - SD,TE,7.07,-143.20
Chris Ivory - NO,RB,21.53,-143.40
Danny Ware - NYG,RB,21.50,-143.43
Anthony Allen - BAL,RB,21.33,-143.60
Jeron Mastrud - MIA,TE,6.47,-143.80
Owen Marecic - CLE,RB,21.03,-143.90
Greg Camarillo - MIN,WR,42.30,-144.47
Ben Hartsock - CAR,TE,5.60,-144.67
Jarett Dillard - JAC,WR,41.87,-144.90
Seyi Ajirotutu - CAR,WR,41.63,-145.14
Anthony Becht - KC,TE,5.00,-145.27
Justin Peelle - ATL,TE,4.73,-145.54
Will Yeatman - MIA,TE,4.47,-145.80
Johnny White - BUF,RB,18.90,-146.03
Jake O'Connell - KC,TE,3.97,-146.30
Lex Hilliard - MIA,RB,18.60,-146.33
Michael Robinson - SEA,RB,18.60,-146.33
Logan Paulsen - WAS,TE,3.77,-146.50
Greg Jones - JAC,RB,18.23,-146.70
Lee Smith - BUF,TE,3.40,-146.87
Tom Crabtree - GB,TE,3.33,-146.94
David Reed - BAL,WR,39.67,-147.10
Micheal Spurlock - TB,WR,39.60,-147.17
Brody Eldridge - IND,TE,3.00,-147.27
Mickey Shuler - CIN,TE,2.90,-147.37
Gary Barnidge - CAR,TE,2.77,-147.50
David Johnson - PIT,TE,2.73,-147.54
John Phillips - DAL,TE,2.33,-147.94
Alge Crumpler - NE,TE,2.27,-148.00
Zach Potter - JAC,TE,2.23,-148.04
Anthony Gonzalez - IND,WR,38.70,-148.07
Blaine Gabbert - JAC,QB,101.06,-148.28
Stephen Spach - STL,TE,1.83,-148.44
Jerheme Urban - KC,WR,37.80,-148.97
John Gilmore - NO,TE,1.03,-149.24
Martin Rucker - DAL,TE,0.50,-149.77
Cameron Morrah - SEA,TE,0.43,-149.84
Lawrence Vickers - HOU,RB,14.80,-150.13
Rock Cartwright - OAK,RB,14.47,-150.46
Kahlil Bell - CHI,RB,14.43,-150.50
Clyde Gates - MIA,WR,36.27,-150.50
Tandon Doss - BAL,WR,36.07,-150.70
Mike Sellers - WAS,RB,14.03,-150.90
Vincent Brown - SD,WR,35.77,-151.00
Sam Hurd - CHI,WR,35.77,-151.00
Deon Butler - SEA,WR,34.67,-152.10
Kealoha Pilares - CAR,WR,33.97,-152.80
Jerome Felton - CAR,RB,10.74,-154.19
Anthony Sherman - ARI,RB,10.04,-154.89
Heath Evans - NO,RB,9.93,-155.00
Luke McCown - JAC,QB,94.24,-155.10
Riley Cooper - PHI,WR,31.53,-155.24
Tim Castille - KC,RB,9.67,-155.26
Spencer Larsen - DEN,RB,9.67,-155.26
Javarris James - IND,RB,9.30,-155.63
Corey McIntyre - BUF,RB,8.40,-156.53
Dwayne Harris - DAL,WR,30.17,-156.60
Kevin Faulk - NE,RB,8.10,-156.83
Montell Owens - JAC,RB,7.83,-157.10
Greg Salas - STL,WR,29.63,-157.14
Kenneth Darby - STL,RB,7.76,-157.17
Terrell Owens - CIN,WR,29.50,-157.27
Bryant Johnson - HOU,WR,29.50,-157.27
Da'Rel Scott - NYG,RB,7.60,-157.33
Donte' Stallworth - WAS,WR,29.37,-157.40
Lorenzo Booker - MIN,RB,6.57,-158.36
Quinn Johnson - TEN,RB,6.43,-158.50
Stephen Williams - ARI,WR,28.20,-158.57
Evan Royster - WAS,RB,6.14,-158.79
Moran Norris - SF,RB,5.94,-158.99
Lavelle Hawkins - TEN,WR,27.70,-159.07
Shaun Chapas - DAL,RB,5.56,-159.37
John Conner - NYJ,RB,5.40,-159.53
Jackie Battle - KC,RB,5.36,-159.57
Jonathan Dwyer - PIT,RB,5.00,-159.93
Niles Paul - WAS,WR,26.17,-160.60
Jalen Parmele - BAL,RB,4.20,-160.73
Eric Weems - ATL,WR,26.03,-160.74
Quinton Ganther - BUF,RB,4.03,-160.90
Tony Richardson - NYJ,RB,3.70,-161.23
Henry Hynoski - NYG,RB,3.60,-161.33
Rashied Davis - DET,WR,25.27,-161.50
Matt Lawrence - BAL,RB,3.36,-161.57
Kassim Osgood - JAC,WR,25.10,-161.67
Baron Batch - PIT,RB,3.13,-161.80
Gartrell Johnson - ATL,RB,3.03,-161.90
T.J. Houshmandzadeh - BAL,WR,24.77,-162.00
Michael Bennett - OAK,RB,2.80,-162.13
Taylor Price - NE,WR,24.57,-162.20
Chris Gronkowski - IND,RB,2.33,-162.60
Korey Hall - NO,RB,2.06,-162.87
Tony Fiammetta - DAL,RB,1.80,-163.13
Jeff Dugan - MIN,RB,1.80,-163.13
Stefan Logan - DET,RB,1.60,-163.33
Joique Bell - NO,RB,1.33,-163.60
Chaz Schilens - OAK,WR,22.97,-163.80
Reagan Maui'a - ARI,RB,1.07,-163.86
Naufahu Tahi - MIN,RB,1.03,-163.90
Terrelle Smith - DET,RB,0.63,-164.30
Julian Edelman - NE,WR,22.20,-164.57
Jeremy Kerley - NYJ,WR,22.10,-164.67
Donnie Avery - STL,WR,20.97,-165.80
Matthew Slater - NE,WR,20.53,-166.24
Jordan Norwood - CLE,WR,19.60,-167.17
Roberto Wallace - MIA,WR,19.07,-167.70
Jerrel Jernigan - NYG,WR,18.97,-167.80
Ramses Barden - NYG,WR,18.93,-167.84
David Garrard - JAC,QB,79.76,-169.58
Doug Baldwin - SEA,WR,16.53,-170.24
Dane Sanzenbacher - CHI,WR,16.43,-170.34
Ryan Whalen - CIN,WR,16.20,-170.57
Aldrick Robinson - WAS,WR,15.77,-171.00
Arnaz Battle - PIT,WR,15.03,-171.74
Marc Mariani - TEN,WR,13.03,-173.74
Matt Willis - DEN,WR,12.33,-174.44
Maurice Stovall - DET,WR,12.30,-174.47
Armanti Edwards - CAR,WR,11.50,-175.27
Devin Thomas - NYG,WR,11.03,-175.74
Adrian Arrington - NO,WR,9.97,-176.80
Patrick Turner - NYJ,WR,9.93,-176.84
Kerry Meier - ATL,WR,8.60,-178.17
Richard Goodman - SD,WR,8.43,-178.34
Marlon Moore - MIA,WR,8.07,-178.70
Kris Durham - SEA,WR,7.40,-179.37
Mardy Gilyard - NYJ,WR,7.03,-179.74
DeMarco Sampson - ARI,WR,6.73,-180.04
Christian Ponder - MIN,QB,69.06,-180.28
Terrance Copper - KC,WR,6.47,-180.30
Bryan Walters - SD,WR,6.33,-180.44
Mike Furrey - WAS,WR,5.90,-180.87
Brandon Banks - WAS,WR,5.63,-181.14
Preston Parker - TB,WR,5.50,-181.27
Brian Finneran - ATL,WR,5.40,-181.37
Kyle Williams - SF,WR,5.00,-181.77
Terrence Austin - WAS,WR,4.17,-182.60
Quan Cosby - CIN,WR,3.53,-183.24
Brett Swain - GB,WR,3.13,-183.64
Nick Miller - OAK,WR,2.43,-184.34
Carlton Mitchell - CLE,WR,2.37,-184.40
Roydell Williams - WAS,WR,2.10,-184.67
Dorin Dickerson - HOU,WR,1.70,-185.07
Ruvell Martin - BUF,WR,1.70,-185.07
Ronald Johnson - SF,WR,1.47,-185.30
Tiquan Underwood - NE,WR,1.37,-185.40
Jeremy Horne - KC,WR,1.27,-185.50
