Player,Position,Score,Value over Avg,Value over Next
Andre Ellington Ari RB,RB,58.60,-117.33,0.44
Josh Ferguson Ind RB,RB,58.16,-117.77,0.61
Robert Turbin Ind RB,RB,57.55,-118.38,4.02
Justin Hardy Atl WR,WR,80.40,-119.19,3.47
Anthony Fasano Ten TE,TE,41.79,-120.42,0.02
Niles Paul Wsh TE P,TE,41.77,-120.44,8.01
Cameron Artis-Payne Car RB,RB,53.53,-122.40,0.79
Albert Wilson KC WR,WR,76.93,-122.66,1.55
Kenneth Dixon Bal RB,RB,52.74,-123.19,3.58
Marqise Lee Jax WR,WR,75.38,-124.21,2.26
Tyrell Williams SD WR P,WR,73.12,-126.47,0.23
Dorial Green-Beckham Phi WR,WR,72.89,-126.70,1.57
Keith Marshall Wsh RB,RB,49.16,-126.77,2.36
Leonte Carroo Mia WR,WR,71.32,-128.27,4.12
Ed Dickson Car TE P,TE,33.76,-128.45,6.11
Dexter McCluster Ten RB,RB,46.80,-129.13,0.25
Paul Perkins NYG RB,RB,46.55,-129.38,0.17
Tyler Ervin Hou RB,RB,46.38,-129.55,0.13
Charcandrick West KC RB P,RB,46.25,-129.68,2.96
Andrew Hawkins Cle WR,WR,67.20,-132.39,6.96
Wendell Smallwood Phi RB P,RB,43.29,-132.64,0.19
Zach Zenner Det RB,RB,43.10,-132.83,0.69
Alfred Blue Hou RB P,RB,42.41,-133.52,0.31
Andre Williams NYG RB,RB,42.10,-133.83,0.73
Bruce Miller SF TE,TE,27.65,-134.56,3.58
Lance Dunbar Dal RB,RB,41.37,-134.56,1.96
Khiry Robinson NYJ RB P,RB,39.41,-136.52,0.88
Mike Gillislee Buf RB Q,RB,38.53,-137.40,8.87
Brandon Pettigrew* Det TE O,TE,24.07,-138.14,0.22
Michael Hoomanawanui NO TE,TE,23.85,-138.36,2.89
J.J. Nelson Ari WR,WR,60.24,-139.35,3.10
Vernon Davis Wsh TE,TE,20.96,-141.25,3.87
Terrelle Pryor Cle WR,WR,57.14,-142.45,6.81
Jared Goff LA QB,QB,125.64,-143.60,19.70
David Johnson Pit TE,TE,17.09,-145.12,6.46
Marcel Reece Oak RB SSPD,RB,29.66,-146.27,1.28
Fitzgerald Toussaint Pit RB,RB,28.38,-147.55,1.52
Ronnie Hillman Den RB,RB,26.86,-149.07,0.69
Ty Montgomery GB WR,WR,50.33,-149.26,0.15
Malcolm Mitchell NE WR Q,WR,50.18,-149.41,3.46
Branden Oliver SD RB,RB,26.17,-149.76,0.23
Darren McFadden* Dal RB O,RB,25.94,-149.99,0.37
Fozzy Whittaker Car RB,RB,25.57,-150.36,6.47
Clay Harbor NE TE P,TE,10.63,-151.58,0.20
Logan Paulsen Wsh TE P,TE,10.43,-151.78,0.51
Dennis Pitta Bal TE Q,TE,9.92,-152.29,0.55
Kellen Davis NYJ TE P,TE,9.37,-152.84,0.28
Victor Cruz NYG WR Q,WR,46.72,-152.87,0.28
Rob Housler Chi TE,TE,9.09,-153.12,0.30
Andre Johnson Ten WR,WR,46.44,-153.15,3.79
