Player,Position,Score,Value over Avg,Value over Next
Robert Turbin Ind RB,RB,44.75,-101.48,2.13
Andre Ellington Ari RB,RB,42.62,-103.61,0.47
Paul Perkins NYG RB,RB,42.15,-104.08,1.99
Mike Gillislee Buf RB Q,RB,40.16,-106.07,0.62
Kenneth Dixon Bal RB,RB,39.54,-106.69,2.59
Charcandrick West KC RB P,RB,36.95,-109.28,1.64
Khiry Robinson NYJ RB P,RB,35.31,-110.92,1.43
Tyler Ervin Hou RB,RB,33.88,-112.35,5.72
Blaine Gabbert SF QB,QB,173.63,-113.59,4.04
Tony Romo* Dal QB O,QB,169.59,-117.63,30.58
Wendell Smallwood Phi RB P,RB,28.16,-118.07,1.32
Kenyan Drake Mia RB Q,RB,26.84,-119.39,1.13
Keith Marshall Wsh RB Q,RB,25.71,-120.52,4.14
Branden Oliver SD RB,RB,21.57,-124.66,8.41
Trevor Siemian Den QB P,QB,139.01,-148.21,2.50
Jared Goff LA QB,QB,136.51,-150.71,25.10
Dak Prescott Dal QB,QB,111.41,-175.81,35.74
Jimmy Garoppolo NE QB,QB,75.67,-211.55,4.36
Colin Kaepernick SF QB,QB,71.30,-215.92,10.44
Case Keenum LA QB,QB,60.86,-226.36,15.70
Mark Sanchez Den QB,QB,45.16,-242.06,3.00
Paxton Lynch Den QB,QB,42.15,-245.07,9.52
Josh McCown Cle QB,QB,32.63,-254.59,16.21
